topic,type,text,option1,option2,option3,option4,correctAnswer
Mellankrigstiden - Lektion 1: Efterkrigstidens hopp och kris,MULTIPLE_CHOICE,Vad innebar krigsskuldsparagrafen i Versaillesfreden för Tyskland?,Att Tyskland fick behålla alla sina kolonier,Att Tyskland ensamt fick bära skulden för kriget och betala enorma skadestånd,Att Tyskland fick välja sin egen regeringsform,Att alla länder delade på krigskostnaderna,Att Tyskland ensamt fick bära skulden för kriget och betala enorma skadestånd
Mellankrigstiden - Lektion 1: Efterkrigstidens hopp och kris,MULTIPLE_CHOICE,Vad var hyperinflationen i Tyskland 1923?,En period av extremt stigande priser där pengar tappade nästan allt sitt värde,En period av höga löneökningar,En period av ekonomisk tillväxt,En period av låga räntor,En period av extremt stigande priser där pengar tappade nästan allt sitt värde
Mellankrigstiden - Lektion 1: Efterkrigstidens hopp och kris,MULTIPLE_CHOICE,Hur påverkade den stora depressionen (1929) demokratin i Europa?,Den stärkte demokratin genom att folk samarbetade,Massarbetslöshet och ekonomiskt kaos underminerade förtroendet för demokratiska system och stärkte extrema rörelser,Den hade ingen politisk påverkan,Den ledde till att alla länder blev kommunistiska,Massarbetslöshet och ekonomiskt kaos underminerade förtroendet för demokratiska system och stärkte extrema rörelser
Mellankrigstiden - Lektion 1: Efterkrigstidens hopp och kris,MULTIPLE_CHOICE,"Varför var demokratin särskilt sårbar i många europeiska länder efter 1918?",Demokratin hade funnits länge och folk var trötta på den,Demokratin var ny i många länder och hade inte hunnit etablera sig innan kriserna slog till,Alla länder hade starka demokratiska traditioner,Folk ville inte ha demokrati,Demokratin var ny i många länder och hade inte hunnit etablera sig innan kriserna slog till
Mellankrigstiden - Lektion 1: Efterkrigstidens hopp och kris,FREE_TEXT,"Ge ett exempel på hur den ekonomiska krisen underminerade förtroendet för demokratin i Europa. Förklara sambandet.",,,,
Mellankrigstiden - Lektion 1: Efterkrigstidens hopp och kris,FREE_TEXT,"Varför tror du att ekonomiska kriser kan leda till politisk extremism? Diskutera med hjälp av exempel från mellankrigstiden.",,,,
Mellankrigstiden - Lektion 2: Fascismens och nazismens framväxt,MULTIPLE_CHOICE,Vilket av följande är ett gemensamt drag för fascism och nazism?,De var båda demokratiska rörelser,De byggde på ledarkultur och var antidemokratiska och nationalistiska,De var pacifistiska och ville undvika krig,De var för internationellt samarbete,De byggde på ledarkultur och var antidemokratiska och nationalistiska
Mellankrigstiden - Lektion 2: Fascismens och nazismens framväxt,MULTIPLE_CHOICE,Vad skiljer nazismen från fascismen?,Nazismen hade en central rasideologi och antisemitism som fascismen saknade,Det finns inga skillnader alls,Fascismen var mer rasistisk än nazismen,Nazismen var demokratisk medan fascismen inte var det,Nazismen hade en central rasideologi och antisemitism som fascismen saknade
Mellankrigstiden - Lektion 2: Fascismens och nazismens framväxt,MULTIPLE_CHOICE,"Begreppet 'struktur' i historisk analys syftar på:",Enskilda personers beslut och handlingar,De underliggande samhällsförhållanden och mönster som påverkar historiens gång,Hur byggnader konstruerades,Militära organisationer,De underliggande samhällsförhållanden och mönster som påverkar historiens gång
Mellankrigstiden - Lektion 2: Fascismens och nazismens framväxt,MULTIPLE_CHOICE,"Hur tog Hitler makten i Tyskland 1933?",Genom en militärkupp,Han utnämndes till rikskansler efter att NSDAP blivit riksdagens största parti - sedan avskaffade han demokratin,Han vann ett demokratiskt val med absolut majoritet,Han invaderade Tyskland från utlandet,Han utnämndes till rikskansler efter att NSDAP blivit riksdagens största parti - sedan avskaffade han demokratin
Mellankrigstiden - Lektion 2: Fascismens och nazismens framväxt,FREE_TEXT,"Var Hitlers maktövertagande främst ett resultat av hans personliga skicklighet (aktör) eller av samhällets kriser (struktur)? Argumentera.",,,,
Mellankrigstiden - Lektion 2: Fascismens och nazismens framväxt,FREE_TEXT,"Varför lockade fascismen och nazismen vanliga människor - inte bara extremister? Diskutera vilka behov dessa rörelser fyllde.",,,,
Mellankrigstiden - Lektion 3: Propagandans makt,MULTIPLE_CHOICE,Vem var Joseph Goebbels?,Tysklands president under Weimarrepubliken,Nazisternas propagandaminister som kontrollerade all media i Tyskland,Italiens fascistiske ledare,En brittisk krigsjournalist,Nazisternas propagandaminister som kontrollerade all media i Tyskland
Mellankrigstiden - Lektion 3: Propagandans makt,MULTIPLE_CHOICE,"Vilka nya medier gjorde propagandan särskilt effektiv under 1930-talet?",Sociala medier och internet,Radio och film som nådde miljoner människor samtidigt,Tidningar och böcker,Telegraf och telefon,Radio och film som nådde miljoner människor samtidigt
Mellankrigstiden - Lektion 3: Propagandans makt,MULTIPLE_CHOICE,"Varför kan en propagandaaffisch vara värdefull för en historiker trots att den är vilseledande?",Den kan inte vara värdefull om den inte är sann,Den avslöjar vilka budskap regimen ville sprida och hur den försökte påverka människor,Den bevisar att allt var bra under diktaturen,Den har bara estetiskt värde,Den avslöjar vilka budskap regimen ville sprida och hur den försökte påverka människor
Mellankrigstiden - Lektion 3: Propagandans makt,MULTIPLE_CHOICE,"Vad är ett tecken på att en källa är propaganda?",Den är gammal,Den använder starka känslor och förenklingar för att påverka åsikter i en bestämd riktning och döljer alternativa perspektiv,Den innehåller fakta,Den är skriven av en känd person,Den använder starka känslor och förenklingar för att påverka åsikter i en bestämd riktning och döljer alternativa perspektiv
Mellankrigstiden - Lektion 3: Propagandans makt,FREE_TEXT,"Hur kunde propaganda bidra till att vanliga människor accepterade diktaturen? Ge ett konkret exempel från mellankrigstiden.",,,,
Mellankrigstiden - Lektion 3: Propagandans makt,FREE_TEXT,"Finns det propaganda i samhället idag? Ge ett exempel och jämför med 1930-talets propaganda - vad är liknande och vad skiljer sig?",,,,
