topic,type,text,option1,option2,option3,option4,correctAnswer
"1914-1945 Aktör och struktur - Lektion 1: Introduktion",MULTIPLE_CHOICE,"Vad är en 'aktör' i den historiska analysen vi använder?","En film- eller teaterskådespelare","En person eller grupp som fattar medvetna beslut och handlar","En ekonomisk kraft som påverkar samhället","En ideologi som styr människors tankar","En person eller grupp som fattar medvetna beslut och handlar"
"1914-1945 Aktör och struktur - Lektion 1: Introduktion",MULTIPLE_CHOICE,"Vad är en 'struktur' i historieanalysen?","Ett byggnadsverk från tiden","De krafter som sätter ramarna för vad som är möjligt (ekonomi, ideologi, institutioner)","En specifik händelse i historien","En politisk organisation","De krafter som sätter ramarna för vad som är möjligt (ekonomi, ideologi, institutioner)"
"1914-1945 Aktör och struktur - Lektion 1: Introduktion",MULTIPLE_CHOICE,"Vilket påstående stämmer bäst om aktör och struktur i historieforskning?","Bara aktörer spelar roll","Bara strukturer spelar roll","Aktörer och strukturer samspelar — båda perspektiven behövs","De är synonymer","Aktörer och strukturer samspelar — båda perspektiven behövs"
"1914-1945 Aktör och struktur - Lektion 1: Introduktion",FREE_TEXT,"Förklara med egna ord vad skillnaden är mellan ett aktörs- och ett strukturperspektiv. Ge ETT exempel på varje från perioden 1914–1945.",,,,,
"1914-1945 Aktör och struktur - Lektion 1: Introduktion",MULTIPLE_CHOICE,"Vilken period täcker momentet?","1900–1945","1914–1945","1919–1939","1914–1918","1914–1945"
"1914-1945 Aktör och struktur - Lektion 2: FVK orsaker",MULTIPLE_CHOICE,"Vilka fyra strukturella krafter brukar anges som orsaker till FVK?","Imperialism, nationalism, allianssystemet, militarism","Kapitalism, demokrati, liberalism, socialism","Religion, etnicitet, språk, kultur","Teknik, industri, handel, kommunikation","Imperialism, nationalism, allianssystemet, militarism"
"1914-1945 Aktör och struktur - Lektion 2: FVK orsaker",MULTIPLE_CHOICE,"Vem sköts i Sarajevo den 28 juni 1914?","Kejsar Franz Joseph","Ärkehertig Franz Ferdinand","Kanslern Bethmann Hollweg","Kung Peter I av Serbien","Ärkehertig Franz Ferdinand"
"1914-1945 Aktör och struktur - Lektion 2: FVK orsaker",MULTIPLE_CHOICE,"Vad innebar 'Blankoschecken' som Wilhelm II gav Österrike-Ungern?","En ekonomisk hjälp till Belgien","Fria händer att agera militärt mot Serbien, med Tysklands fulla stöd","En fredlig förhandlingsposition","Ett erbjudande om allians med Ryssland","Fria händer att agera militärt mot Serbien, med Tysklands fulla stöd"
"1914-1945 Aktör och struktur - Lektion 2: FVK orsaker",FREE_TEXT,"Var FVK:s utbrott resultatet av Sarajevo-attentatet (aktör) eller av imperialistiska/nationalistiska strukturer? Motivera kort.",,,,,
"1914-1945 Aktör och struktur - Lektion 2: FVK orsaker",MULTIPLE_CHOICE,"Hur hängde allianssystemet ihop med kriget?","Det förhindrade kriget","Det drog in länder som annars inte hade behövt delta (domino-effekt)","Det spelade ingen roll","Det var inte färdigt 1914","Det drog in länder som annars inte hade behövt delta (domino-effekt)"
"1914-1945 Aktör och struktur - Lektion 3: Kriget som maskin",MULTIPLE_CHOICE,"Hur många kolonialsoldater från Senegal och andra franska kolonier kämpade i Europa under FVK (ungefär)?","200 000","20 000","2 miljoner","10 000","200 000"
"1914-1945 Aktör och struktur - Lektion 3: Kriget som maskin",MULTIPLE_CHOICE,"Vilken strukturell förändring innebar FVK för kvinnor i Europa?","Kvinnor började arbeta massivt i krigsindustrin","Kvinnor fick sluta arbeta","Inget förändrades","Kvinnor blev soldater i lika stor skala som män","Kvinnor började arbeta massivt i krigsindustrin"
"1914-1945 Aktör och struktur - Lektion 3: Kriget som maskin",MULTIPLE_CHOICE,"Vilken teknik karakteriserade det industriella kriget?","Kulspruta, artilleri, stridsgas, tanks, flygplan","Laservapen","Drönare","Atomvapen","Kulspruta, artilleri, stridsgas, tanks, flygplan"
"1914-1945 Aktör och struktur - Lektion 3: Kriget som maskin",FREE_TEXT,"Nämn två sätt som FVK förändrade samhällsstrukturen för grupper som tidigare var osynliga i historien (t.ex. kvinnor, kolonialsoldater).",,,,,
"1914-1945 Aktör och struktur - Lektion 4: Versailles 1919",MULTIPLE_CHOICE,"Vilka var de tre främsta 'aktörerna' vid Versaillesförhandlingarna 1919?","Hitler, Stalin, Roosevelt","Wilson (USA), Lloyd George (UK), Clemenceau (Frankrike)","Churchill, De Gaulle, Mussolini","Lenin, Trotskij, Kerenskij","Wilson (USA), Lloyd George (UK), Clemenceau (Frankrike)"
"1914-1945 Aktör och struktur - Lektion 4: Versailles 1919",MULTIPLE_CHOICE,"Vad handlar 'krigsskuldsklausulen' (§231) i Versaillesfördraget om?","Tyskland fick behålla sina kolonier","Tyskland erkände ansvaret för FVK och därmed skyldigheten att betala skadestånd","Tyskland fick militär återupprustning","Tyskland fick stöd av NF","Tyskland erkände ansvaret för FVK och därmed skyldigheten att betala skadestånd"
"1914-1945 Aktör och struktur - Lektion 4: Versailles 1919",MULTIPLE_CHOICE,"Vem var John Maynard Keynes och vad var hans huvudpoäng?","En fransk general som ville straffa Tyskland hårdare","En brittisk ekonom som varnade för att reparationerna skulle förstöra Tyskland och Europa","En amerikansk president som undertecknade fördraget","En tysk politiker som protesterade","En brittisk ekonom som varnade för att reparationerna skulle förstöra Tyskland och Europa"
"1914-1945 Aktör och struktur - Lektion 4: Versailles 1919",FREE_TEXT,"Varför brukar Versaillesfördraget kallas 'en dålig fred'? Använd begreppen aktör och struktur i ditt svar.",,,,,
"1914-1945 Aktör och struktur - Lektion 5: Mellankrigstid",MULTIPLE_CHOICE,"Vad innebar 'totalitarism' som strukturellt fenomen?","Ett ekonomiskt system","En kombination av ideologi, terror, massmobilisering och total statskontroll","En militär allians","En form av demokrati","En kombination av ideologi, terror, massmobilisering och total statskontroll"
"1914-1945 Aktör och struktur - Lektion 5: Mellankrigstid",MULTIPLE_CHOICE,"Vad betyder 'Lebensraum' i nazistisk ideologi?","Liv i staden","'Livsutrymme' — kravet på territorium för den 'ariska rasen'","En politisk institution","Ekonomisk frihet","'Livsutrymme' — kravet på territorium för den 'ariska rasen'"
