topic,type,text,option1,option2,option3,option4,correctAnswer
Världskrigen - Lektion 1: Vägen till WW1,MULTIPLE_CHOICE,Vad innebär nationalism?,Att sätta sitt eget folk och sin nation först,Att vilja ha en stark militär,Att erövra andra länder,Att samarbeta mellan länder,Att sätta sitt eget folk och sin nation först
Världskrigen - Lektion 1: Vägen till WW1,MULTIPLE_CHOICE,Vilka två allianser stod mot varandra före första världskriget?,Trippelalliansen och trippelententen,NATO och Warszawapakten,FN och Nationernas förbund,Axelmakterna och de allierade,Trippelalliansen och trippelententen
Världskrigen - Lektion 1: Vägen till WW1,MULTIPLE_CHOICE,Vilken av dessa var INTE en bakomliggande orsak till första världskriget?,Kommunism,Nationalism,Imperialism,Kapprustning,Kommunism
Världskrigen - Lektion 1: Vägen till WW1,MULTIPLE_CHOICE,Varför ledde kapprustningen till ökade spänningar?,Länder kände sig hotade av varandras militära uppbyggnad,Kapprustningen var för dyr för länderna,Folket protesterade mot militären,Kapprustningen förstörde miljön,Länder kände sig hotade av varandras militära uppbyggnad
Världskrigen - Lektion 1: Vägen till WW1,FREE_TEXT,Nämn två orsaker till att spänningarna i Europa ökade före 1914.,,,,
Världskrigen - Lektion 2: WW1 bryter ut,MULTIPLE_CHOICE,Vad var den utlösande faktorn till första världskriget?,Mordet på ärkehertig Franz Ferdinand i Sarajevo,Tysklands invasion av Frankrike,Rysslands mobilisering,Storbritanniens krigsförklaring,Mordet på ärkehertig Franz Ferdinand i Sarajevo
Världskrigen - Lektion 2: WW1 bryter ut,MULTIPLE_CHOICE,Varför blev mordet i Sarajevo ett världskrig och inte bara en lokal konflikt?,Allianssystemet drog in land efter land,Alla länder ville ha krig,FN misslyckades med att medla,USA gick med i kriget direkt,Allianssystemet drog in land efter land
Världskrigen - Lektion 2: WW1 bryter ut,MULTIPLE_CHOICE,Vad kännetecknade kriget på västfronten?,Skyttegravskrig med lite framryckning,Snabba framstötar med stridsvagnar,Flygkrig över städerna,Sjökrig på Atlanten,Skyttegravskrig med lite framryckning
Världskrigen - Lektion 2: WW1 bryter ut,MULTIPLE_CHOICE,Vilka nya vapen användes under första världskriget?,Kulspruta och giftgas,Atombomb och raket,Stridsvagn och ubåt men inte kulspruta,Drönare och kryssningsmissiler,Kulspruta och giftgas
Världskrigen - Lektion 2: WW1 bryter ut,FREE_TEXT,Förklara med egna ord hur mordet i Sarajevo kunde leda till ett världskrig.,,,,
Världskrigen - Lektion 3: WW1 konsekvenser,MULTIPLE_CHOICE,Vad innebar Versaillesfreden för Tyskland?,Tyskland fick krigsskulden och måste betala stora skadestånd,Tyskland fick behålla alla sina kolonier,Tyskland fick stärka sin militär,Tyskland blev en del av Frankrike,Tyskland fick krigsskulden och måste betala stora skadestånd
Världskrigen - Lektion 3: WW1 konsekvenser,MULTIPLE_CHOICE,Vilken internationell organisation grundades efter första världskriget?,Nationernas förbund,FN,NATO,EU,Nationernas förbund
Världskrigen - Lektion 3: WW1 konsekvenser,MULTIPLE_CHOICE,Vad är ett exempel på en politisk konsekvens av WW1?,Kejsardömen föll och nya stater bildades,Miljontals människor dog,Ekonomin kraschade,Nya vapen utvecklades,Kejsardömen föll och nya stater bildades
Världskrigen - Lektion 3: WW1 konsekvenser,MULTIPLE_CHOICE,"Varför upplevde många tyskar Versaillesfreden som orättvis?","Tyskland tvingades ta hela skulden trots att fler länder var inblandade","Freden var för mild","Tyskland ville ha hårdare straff","Frankrike fick betala skadestånd till Tyskland","Tyskland tvingades ta hela skulden trots att fler länder var inblandade"
Världskrigen - Lektion 3: WW1 konsekvenser,FREE_TEXT,Nämn en politisk och en ekonomisk konsekvens av första världskriget.,,,,
Världskrigen - Lektion 4: Mellankrigstiden,MULTIPLE_CHOICE,Vad var hyperinflation i Tyskland 1923?,Pengar tappade sitt värde snabbt - en limpa bröd kostade miljarder,Priserna sjönk kraftigt,Alla blev rika av börshandel,Tyskland vägrade betala sina skulder,Pengar tappade sitt värde snabbt - en limpa bröd kostade miljarder
Världskrigen - Lektion 4: Mellankrigstiden,MULTIPLE_CHOICE,Hur utnyttjade Hitler den ekonomiska krisen?,Han lovade arbete och nationell stolthet - använde propaganda skickligt,Han startade ett krig för att skapa jobb,Han samarbetade med kommunisterna,Han sänkte skatterna för alla,Han lovade arbete och nationell stolthet - använde propaganda skickligt
Världskrigen - Lektion 4: Mellankrigstiden,MULTIPLE_CHOICE,När blev Hitler rikskansler?,1933,1929,1939,1935,1933
Världskrigen - Lektion 4: Mellankrigstiden,MULTIPLE_CHOICE,"Vilken koppling finns mellan Versaillesfreden och Hitlers maktövertagande?","Versaillesfreden skapade förödmjukelse och ekonomisk kris som Hitler utnyttjade","Versaillesfreden gav Hitler militär makt","Versaillesfreden förbjöd alla partier utom NSDAP","Det finns ingen koppling","Versaillesfreden skapade förödmjukelse och ekonomisk kris som Hitler utnyttjade"
Världskrigen - Lektion 4: Mellankrigstiden,FREE_TEXT,Förklara ett samband mellan WW1:s konsekvenser och Hitlers väg till makten.,,,,
Världskrigen - Lektion 4: Mellankrigstiden,FREE_TEXT,Hade Hitler kunnat ta makten utan Versaillesfreden? Motivera ditt svar.,,,,
Världskrigen - Lektion 5: WW2 bryter ut,MULTIPLE_CHOICE,Vad var Anschluss 1938?,Nazitysklands annektering av Österrike,Invasion av Polen,Bomningen av London,Allians mellan Tyskland och Japan,Nazitysklands annektering av Österrike
Världskrigen - Lektion 5: WW2 bryter ut,MULTIPLE_CHOICE,Vad innebar Münchenavtalet 1938?,Storbritannien och Frankrike accepterade att Tyskland tog Sudetenland,Tyskland och Sovjet delade Polen,USA gick med i kriget,Japan attackerade Pearl Harbor,Storbritannien och Frankrike accepterade att Tyskland tog Sudetenland
Världskrigen - Lektion 5: WW2 bryter ut,MULTIPLE_CHOICE,Vad betyder appeasement (eftergiftspolitik)?,Att ge efter för en aggressors krav för att undvika krig,Att bygga allianser mot en fiende,Att rusta upp militären snabbt,Att isolera sig från omvärlden,Att ge efter för en aggressors krav för att undvika krig
