topic,type,text,option1,option2,option3,option4,correctAnswer
Aktör och struktur - Lektion 1: Verktyg och kruttunnor,MULTIPLE_CHOICE,Vad menas med en strukturförklaring i historia?,En förklaring som fokuserar på enskilda personers beslut,En förklaring som fokuserar på långsiktiga mönster och system som påverkar händelser,En förklaring som bara handlar om ekonomi,En förklaring som utgår från slumpen,En förklaring som fokuserar på långsiktiga mönster och system som påverkar händelser
Aktör och struktur - Lektion 1: Verktyg och kruttunnor,MULTIPLE_CHOICE,Vilka var de två allianserna som delade Europa före 1914?,Trippelalliansen och Trippelententen,Folkförbundet och NATO,Wienkongressen och Berlinkonferensen,Axelmakterna och de allierade,Trippelalliansen och Trippelententen
Aktör och struktur - Lektion 1: Verktyg och kruttunnor,MULTIPLE_CHOICE,Varför skapade flottkapprustningen mellan Tyskland och Storbritannien spänningar?,Eftersom Tyskland ville erövra brittiska kolonier,Eftersom en stor tysk flotta tolkades som ett direkt hot mot Storbritanniens säkerhet,Eftersom Storbritannien förbjöd Tyskland att bygga fartyg,Eftersom flottan var dyr och orsakade ekonomisk kris i båda länderna,Eftersom en stor tysk flotta tolkades som ett direkt hot mot Storbritanniens säkerhet
Aktör och struktur - Lektion 1: Verktyg och kruttunnor,MULTIPLE_CHOICE,"Alsace-Lorraine bidrog till spänningar mellan vilka länder, och varför?",Tyskland och Ryssland - de stred om hamnar i Östersjön,"Frankrike och Tyskland - Frankrike ville ha tillbaka provinserna som förlorats 1871",Storbritannien och Frankrike - de tävlade om kolonier i Afrika,Österrike-Ungern och Serbien - de hade territoriella anspråk,"Frankrike och Tyskland - Frankrike ville ha tillbaka provinserna som förlorats 1871"
Aktör och struktur - Lektion 1: Verktyg och kruttunnor,FREE_TEXT,Förklara med egna ord skillnaden mellan en aktörsförklaring och en strukturförklaring. Ge ett exempel från första världskrigets orsaker.,,,,
Aktör och struktur - Lektion 1: Verktyg och kruttunnor,MULTIPLE_CHOICE,Nationalism på Balkan hotade framför allt vilken stormakts existens?,Tyskland,Frankrike,Österrike-Ungern,Ryssland,Österrike-Ungern
Aktör och struktur - Lektion 2: Julikrisen,MULTIPLE_CHOICE,Vad menas med att Tyskland gav Österrike-Ungern en 'blankofullmakt'?,Att Tyskland lovade att inte blanda sig i konflikten,Att Tyskland gav sitt fulla stöd till Österrike-Ungerns agerande mot Serbien,Att Tyskland krävde att Österrike-Ungern skulle förklara krig,Att Tyskland erbjöd ekonomiskt bistånd men inte militärt stöd,Att Tyskland gav sitt fulla stöd till Österrike-Ungerns agerande mot Serbien
Aktör och struktur - Lektion 2: Julikrisen,MULTIPLE_CHOICE,Varför drog Schlieffenplanen automatiskt in Frankrike i kriget?,Eftersom Frankrike hade hotat Tyskland med krig,Eftersom planen krävde att Tyskland anföll Frankrike genom Belgien så snart Ryssland mobiliserade,Eftersom Frankrike var allierat med Österrike-Ungern,Eftersom tyska trupper redan fanns vid franska gränsen,Eftersom planen krävde att Tyskland anföll Frankrike genom Belgien så snart Ryssland mobiliserade
Aktör och struktur - Lektion 2: Julikrisen,MULTIPLE_CHOICE,Vad fick Storbritannien att gå in i kriget?,Att Ryssland bad om hjälp,Att Tyskland invaderade det neutrala Belgien,Att Frankrike hotades med invasion från söder,Att Serbien attackerade Österrike-Ungern,Att Tyskland invaderade det neutrala Belgien
Aktör och struktur - Lektion 2: Julikrisen,MULTIPLE_CHOICE,Vilket av följande är det bästa exemplet på hur en struktur begränsade en aktör under julikrisen?,Wilhelm II bestämde sig för att stödja Österrike-Ungern,Mordet i Sarajevo utfördes av en bosnisk nationalist,"Schlieffenplanen tvingade Tyskland att anfalla Frankrike, oavsett om de ville kriga med Frankrike eller inte",Sir Edward Grey höll ett tal i parlamentet,"Schlieffenplanen tvingade Tyskland att anfalla Frankrike, oavsett om de ville kriga med Frankrike eller inte"
