topic,type,text,option1,option2,option3,option4,correctAnswer
Första världskriget - Lektion 1: Europas krutdurk,MULTIPLE_CHOICE,Vilken av följande var INTE en bakomliggande orsak till första världskriget?,Nationalism,Imperialism,Kommunism,Kapprustning,Kommunism
Första världskriget - Lektion 1: Europas krutdurk,MULTIPLE_CHOICE,Vad innebar allianssystemet i Europa före 1914?,Att alla europeiska länder samarbetade för fred,Att länder hade avtal om att stödja varandra militärt vid angrepp,Att FN bildades för att förhindra krig,Att länderna hade gemensam ekonomi,Att länder hade avtal om att stödja varandra militärt vid angrepp
Första världskriget - Lektion 1: Europas krutdurk,MULTIPLE_CHOICE,Kapprustningen före 1914 innebar att stormakterna:,Minskade sina arméer för att spara pengar,Tävlade om att bygga upp de största militära styrkorna,Förbjöd nya vapen genom internationella avtal,Enbart satsade på flottan,Tävlade om att bygga upp de största militära styrkorna
Första världskriget - Lektion 1: Europas krutdurk,MULTIPLE_CHOICE,"Hur hänger nationalism och imperialism ihop som orsaker till kriget?",De har ingen koppling alls,Nationalism stärkte viljan att expandera och dominera andra folk - imperialism blev uttrycket för detta,Imperialism orsakade nationalism genom handel,Nationalism försvagade imperialismen,Nationalism stärkte viljan att expandera och dominera andra folk - imperialism blev uttrycket för detta
Första världskriget - Lektion 1: Europas krutdurk,FREE_TEXT,"Nämn en bakomliggande orsak till kriget och förklara varför den ökade spänningarna i Europa.",,,,
Första världskriget - Lektion 1: Europas krutdurk,FREE_TEXT,"Rangordna de fyra bakomliggande orsakerna efter hur viktiga du tror att de var. Motivera ditt val av den viktigaste.",,,,
Första världskriget - Lektion 2: Skotten i Sarajevo,MULTIPLE_CHOICE,Vad var den utlösande faktorn till första världskriget?,Frankrikes invasion av Tyskland,Mordet på ärkehertig Franz Ferdinand i Sarajevo,Rysslands mobilisering,Englands krigsförklaring mot Turkiet,Mordet på ärkehertig Franz Ferdinand i Sarajevo
Första världskriget - Lektion 2: Skotten i Sarajevo,MULTIPLE_CHOICE,"Vad är skillnaden mellan en bakomliggande orsak och en utlösande faktor?",Det finns ingen skillnad,En bakomliggande orsak bygger upp spänningar över tid medan en utlösande faktor är händelsen som startar konflikten,En utlösande faktor är alltid viktigare än en bakomliggande orsak,Bakomliggande orsaker handlar om personer och utlösande faktorer om strukturer,En bakomliggande orsak bygger upp spänningar över tid medan en utlösande faktor är händelsen som startar konflikten
Första världskriget - Lektion 2: Skotten i Sarajevo,MULTIPLE_CHOICE,"Begreppet 'aktör' i historisk analys syftar på:",Strukturella samhällskrafter som ekonomi och politik,Enskilda personer eller grupper som fattar beslut och handlar,Historiker som tolkar händelser,Länder som deltar i krig,Enskilda personer eller grupper som fattar beslut och handlar
Första världskriget - Lektion 2: Skotten i Sarajevo,MULTIPLE_CHOICE,Varför ledde mordet i Sarajevo till ett storkrig och inte bara en lokal konflikt?,Mordet var så upprörande att alla länder reagerade spontant,Allianssystemen drog in land efter land - en dominoeffekt,Ingen vet varför kriget spred sig,Alla länder ville erövra Serbien,Allianssystemen drog in land efter land - en dominoeffekt
Första världskriget - Lektion 2: Skotten i Sarajevo,FREE_TEXT,"Var första världskriget oundvikligt? Argumentera med hjälp av begreppen aktör och struktur.",,,,
Första världskriget - Lektion 2: Skotten i Sarajevo,FREE_TEXT,"Identifiera ett tillfälle under juni-krisen 1914 då kriget kunde ha undvikits. Vad hade behövt hända?",,,,
Första världskriget - Lektion 3: Skyttegravskriget,MULTIPLE_CHOICE,Vilken ny vapentyp bidrog mest till att västfronten fastnade i skyttegravskrig?,Svärdet,Kulsprutan,Kanonen,Musköten,Kulsprutan
Första världskriget - Lektion 3: Skyttegravskriget,MULTIPLE_CHOICE,"Vilken av de fyra källkritiska grundfrågorna handlar om källans syfte?",Vem skapade källan?,När skapades den?,Varför skapades den?,Vad säger den?,Varför skapades den?
Första världskriget - Lektion 3: Skyttegravskriget,MULTIPLE_CHOICE,"En propagandaaffisch från 1915 visar glada soldater som marscherar. Varför kan denna källa ändå vara värdefull för en historiker?",Den visar exakt hur kriget var,Den avslöjar vilka budskap regeringen ville sprida och hur de försökte påverka opinionen,Den bevisar att soldaterna var glada,Den har inget historiskt värde alls,Den avslöjar vilka budskap regeringen ville sprida och hur de försökte påverka opinionen
Första världskriget - Lektion 3: Skyttegravskriget,MULTIPLE_CHOICE,"Vad skiljer ett soldatbrev från en propagandaaffisch som historisk källa?",Soldatbrevet är alltid sant och affischen alltid falsk,Soldatbrevet ger ett personligt perspektiv medan affischen visar statens officiella budskap,De ger exakt samma information,Propagandaaffischen är alltid mer trovärdig,Soldatbrevet ger ett personligt perspektiv medan affischen visar statens officiella budskap
Första världskriget - Lektion 3: Skyttegravskriget,FREE_TEXT,"Ge ett exempel på hur en propagandakälla kan vara opålitlig som faktabeskrivning men ändå värdefull som historisk källa.",,,,
Första världskriget - Lektion 3: Skyttegravskriget,FREE_TEXT,"Välj en typ av källa från första världskriget (soldatbrev, propagandaaffisch, tidningsartikel). Vilka styrkor och svagheter har den som historisk källa?",,,,
Första världskriget - Lektion 4: Hela världens världskrig?,MULTIPLE_CHOICE,"Ungefär hur många indiska soldater stred på de allierades sida under första världskriget?",Cirka 1000,Cirka 50 000,Över 1 miljon,Inga alls,Över 1 miljon
